"id_paper","author","main_author"
278,"Dieter Baum",TRUE
279,"Artur Czumaj",TRUE
279,"Krzysztof Lorys",FALSE
279,"Miroslaw Kutylowski",FALSE
279,"Przemyslawa Kanarek",FALSE
280,"Klaus Jansen",TRUE
281,"Klaus Lux",TRUE
281,"Markus Wiegelmann",FALSE
282,"Manfred Laumen",TRUE
283,"Christian Fecht",TRUE
283,"Helmut Seidl",FALSE
284,"Klaus Jansen",TRUE
285,"Christoph Meinel",TRUE
285,"Jordan Gergov",FALSE
286,"Christoph Meinel",TRUE
286,"Harald Sack",FALSE
287,"Harald Luschgy",TRUE
288,"Matthias Heinkenschloss",TRUE
289,"Bernd Sturmfels",TRUE
289,"Markus Wiegelmann",FALSE
290,"Martin Gugat",TRUE
291,"Arno Wagner",TRUE
291,"Christian Stangier",FALSE
291,"Christoph Meinel",FALSE
291,"Harald Sack",FALSE
292,"Mirjam Dür",TRUE
292,"Reiner Horst",FALSE
293,"Beniamino Di Martino",TRUE
293,"Christoph W. Keßler",FALSE
294,"Christoph Meinel",TRUE
294,"Wei Zhou 0006",FALSE
295,"Richard Rödler",TRUE
296,"Dieter Baum",TRUE
297,"Anna Bernasconi 0001",TRUE
297,"Carsten Damm",FALSE
297,"Igor E. Shparlinski",FALSE
298,"Le Dung Muu",TRUE
298,"Nguyen V. Thoai",FALSE
298,"Reiner Horst",FALSE
299,"Christoph W. Keßler",TRUE
300,"Kasyap Natarajan",TRUE
301,"Hubertus Th. Jongen",TRUE
301,"Oliver Stein",FALSE
302,"Le Dung Muu",TRUE
302,"M. Nast",FALSE
302,"Reiner Horst",FALSE
303,"Lothar Breuer",TRUE
304,"Manfred Laumen",TRUE
305,"Daniel Görgen",TRUE
305,"Hannes Frey",FALSE
305,"Johannes K. Lehnert",FALSE
305,"Peter Sturm 0001",FALSE
306,"Klaus Jansen",TRUE
307,"Patrick Reuther",TRUE
308,"Nguyen V. Thoai",TRUE
308,"Reiner Horst",FALSE
309,"E. Levitin",TRUE
310,"Jürgen Huschens",TRUE
311,"Marco Fahl",TRUE
312,"Andreas Neumann 0001",TRUE
313,"Nguyen V. Thoai",TRUE
314,"Christoph Meinel",TRUE
314,"Randal E. Bryant",FALSE
315,"Subhendu Bikash Hazra",TRUE
315,"Volker Schulz 0001",FALSE
316,"Christoph Meinel",TRUE
316,"Elena Dubrova",FALSE
316,"Harald Sack",FALSE
317,"Horst Schmitt",TRUE
318,"Dieter Baum",TRUE
319,"Christian Stangier",TRUE
319,"Christoph Meinel",FALSE
320,"Dieter Baum",TRUE
321,"Peter Gritzmann",TRUE
321,"Victor Klee",FALSE
322,"Anna Slobodová",TRUE
322,"Christoph Meinel",FALSE
322,"Peter Willems",FALSE
323,"Dieter Baum",TRUE
323,"Igor N. Kovalenko",FALSE
324,"Dieter Prangenberg",TRUE
324,"Peter Gritzmann",FALSE
324,"R. J. Gardner",FALSE
325,"Peter Gritzmann",TRUE
325,"Victor Klee",FALSE
326,"M. Nast",TRUE
326,"Reiner Horst",FALSE
327,"János Sztrik",TRUE
327,"Oliver Möller",FALSE
328,"Ulrich Hertrampf",TRUE
329,"Arno Wagner",TRUE
329,"Christoph Meinel",FALSE
329,"Harald Sack",FALSE
330,"Lothar Breuer",TRUE
331,"Richard Rödler",TRUE
332,"Christoph Meinel",TRUE
332,"Volker Schillings",FALSE
333,"Peter Gritzmann",TRUE
333,"Thomas Burger",FALSE
333,"Victor Klee",FALSE
334,"Alexander Kaplan",TRUE
334,"Rainer Tichatschke",FALSE
335,"Anna Slobodová",TRUE
335,"Christoph Meinel",FALSE
335,"Jochen Bern",FALSE
336,"Christian Fecht",TRUE
336,"Helmut Seidl",FALSE
337,"Ekkehard W. Sachs",TRUE
337,"Heidi Jäger",FALSE
338,"Klaus Jansen",TRUE
338,"Thomas Erlebach",FALSE
339,"Friedemann Leibfritz",TRUE
340,"Peter Gritzmann",TRUE
340,"R. J. Gardner",FALSE
341,"Lothar Breuer",TRUE
342,"Klaus Lux",TRUE
342,"Markus Wiegelmann",FALSE
343,"Bernd Sturmfels",TRUE
343,"Peter Gritzmann",FALSE
344,"Flemming Nielson",TRUE
344,"Helmut Seidl",FALSE
345,"Alexander Kaplan",TRUE
345,"Rainer Tichatschke",FALSE
346,"Klaus Jansen",TRUE
346,"Thomas Erlebach",FALSE
347,"Dieter Baum",TRUE
347,"Gurami Tsitsiashvili",FALSE
348,"Arno Wagner",TRUE
348,"Christoph Meinel",FALSE
349,"Nguyen V. Thoai",TRUE
349,"Reiner Horst",FALSE
350,"Patrick Justen",TRUE
351,"Anna Slobodová",TRUE
351,"Christoph Meinel",FALSE
351,"Klaus Schwettmann",FALSE
352,"Reiner Horst",TRUE
352,"Ulrich Raber",FALSE
353,"Christoph Meinel",TRUE
353,"Fabio Somenzi",FALSE
353,"Thorsten Theobald",FALSE
354,"E. Levitin",TRUE
354,"Rainer Tichatschke",FALSE
355,"Klaus Jansen",TRUE
356,"Abdelouahed Hamdi",TRUE
357,"Carsten Damm",TRUE
358,"Attahiru Sule Alfa",TRUE
358,"Lothar Breuer",FALSE
359,"Matthias Heinkenschloss",TRUE
360,"Jürgen Huschens",TRUE
361,"Christoph Meinel",TRUE
361,"Thorsten Theobald",FALSE
362,"Harald Luschgy",TRUE
362,"Siegfried Graf 0001",FALSE
363,"Jens Hofmann 0001",TRUE
363,"Kasyap Natarajan",FALSE
363,"Norbert Th. Müller",FALSE
364,"Kasyap Natarajan",TRUE
365,"Hubertus Th. Jongen",TRUE
365,"Jan-J. Rückmann",FALSE
365,"Oliver Stein",FALSE
366,"Horst Schmitt",TRUE
367,"Klaus Jansen",TRUE
368,"Christoph Meinel",TRUE
368,"Volker Klotz",FALSE
369,"Andreas Neumann 0001",TRUE
369,"Helmut Seidl",FALSE
370,"Richard Rödler",TRUE
371,"Alexander Kaplan",TRUE
371,"Rainer Tichatschke",FALSE
372,"Carsten Damm",TRUE
373,"Dimitri Efrosinin",TRUE
373,"Lothar Breuer",FALSE
373,"Vladimir Rykov",FALSE
374,"Gerhard J. Woeginger",TRUE
374,"Hans L. Bodlaender",FALSE
374,"Klaus Jansen",FALSE
375,"Jens Hofmann 0001",TRUE
376,"Michael Ruvimovich Davidson",TRUE
377,"Ekkehard W. Sachs",TRUE
377,"El-Sayed M. E. Mostafa",FALSE
378,"Christoph Meinel",TRUE
378,"Stephan Waack",FALSE
379,"Anna Slobodová",TRUE
379,"Christoph Meinel",FALSE
379,"Jochen Bern",FALSE
380,"Holger Class",TRUE
380,"Rainer Helmig",FALSE
380,"Subhendu Bikash Hazra",FALSE
380,"Volker Schulz 0001",FALSE
381,"Richard Rödler",TRUE
382,"János Sztrik",TRUE
382,"Oliver Möller",FALSE
383,"Carsten Damm",TRUE
383,"Katja Lenz",FALSE
384,"Alexander Hufnagel",TRUE
384,"Peter Gritzmann",FALSE
385,"Christoph W. Keßler",TRUE
385,"Helmut Seidl",FALSE
386,"Christoph Meinel",TRUE
386,"Harald Sack",FALSE
387,"Helmut Seidl",TRUE
388,"Alexander Kaplan",TRUE
388,"Rainer Tichatschke",FALSE
389,"David G. Larman",TRUE
389,"Peter Gritzmann",FALSE
389,"Victor Klee",FALSE
390,"Gerhard J. Woeginger",TRUE
390,"Klaus Jansen",FALSE
391,"Dieter Baum",TRUE
392,"Alexander Kaplan",TRUE
392,"Rainer Tichatschke",FALSE
393,"Christian Stangier",TRUE
393,"Christoph Meinel",FALSE
394,"Klaus Jansen",TRUE
395,"D. Kleis",TRUE
395,"Ekkehard W. Sachs",FALSE
396,"Christoph W. Keßler",TRUE
397,"Klaus Jansen",TRUE
397,"Petra Scheffler",FALSE
398,"E. Levitin",TRUE
399,"Alexander Kaplan",TRUE
399,"Rainer Tichatschke",FALSE
400,"Subhendu Bikash Hazra",TRUE
400,"Volker Schulz 0001",FALSE
401,"Alexander Kaplan",TRUE
401,"Rainer Tichatschke",FALSE
402,"Ulrich Hertrampf",TRUE
403,"Anna Slobodová",TRUE
403,"Christoph Meinel",FALSE
404,"Alexander Kaplan",TRUE
404,"Rainer Tichatschke",FALSE
405,"Stasys Jukna",TRUE
406,"Christoph Meinel",TRUE
406,"Mikail Gevantmakher",FALSE
407,"Ekkehard W. Sachs",TRUE
407,"Tankred Rautert",FALSE
408,"Christoph Meinel",TRUE
408,"Jochen Bern",FALSE
409,"Christoph Meinel",TRUE
409,"Jordan Gergov",FALSE
410,"Dieter Baum",TRUE
410,"Luciano Lenzini",FALSE
411,"S. Rotin",TRUE
412,"Dieter Baum",TRUE
413,"Anna Slobodová",TRUE
413,"Christoph Meinel",FALSE
413,"Jochen Bern",FALSE
414,"Jürgen Huschens",TRUE
415,"Martin Gugat",TRUE
416,"Dirk Frosch",TRUE
417,"Abdelouahed Hamdi",TRUE
418,"El-Sayed M. E. Mostafa",TRUE
418,"Friedemann Leibfritz",FALSE
419,"Christoph W. Keßler",TRUE
419,"Craig Smith",FALSE
419,"Helmut Seidl",FALSE
420,"Dieter Baum",TRUE
420,"Vladimir V. Kalashnikov",FALSE
421,"Dieter Baum",TRUE
422,"C. Ould Ahmed Salem",TRUE
422,"N. Lehdili",FALSE
423,"Christoph Meinel",TRUE
423,"Harald Sack",FALSE
423,"Volker Schillings",FALSE
424,"Lothar Breuer",TRUE
425,"Christoph Meinel",TRUE
425,"Fabio Somenzi",FALSE
425,"Thorsten Theobald",FALSE
426,"Friedemann Leibfritz",TRUE
427,"Christoph W. Keßler",TRUE
427,"Helmut Seidl",FALSE
428,"Jürgen Huschens",TRUE
429,"Martin Mundhenk",TRUE
430,"Carsten Damm",TRUE
430,"Christoph Meinel",FALSE
430,"Matthias Krause 0001",FALSE
430,"Stephan Waack",FALSE
431,"Christian Stangier",TRUE
431,"Christoph Meinel",FALSE
432,"Andreas Brieden",TRUE
432,"Peter Gritzmann",FALSE
433,"Peter Gritzmann",TRUE
433,"Victor Klee",FALSE
434,"Dieter Baum",TRUE
435,"Lothar Breuer",TRUE
435,"Marco Gilbert",FALSE
436,"Anna Slobodová",TRUE
436,"Christoph Meinel",FALSE
437,"Helmut Seidl",TRUE
438,"Belinda B. King",TRUE
439,"Lars Abbe",TRUE
440,"Anna Slobodová",TRUE
440,"Christoph Meinel",FALSE
441,"Helmut Seidl",TRUE
441,"Sebastian Maneth",FALSE
441,"Thomas Perst",FALSE
442,"Helmut Finner",TRUE
442,"Markus Roters",FALSE
443,"S. Rotin",TRUE
444,"A. Battermann",TRUE
444,"Ekkehard W. Sachs",FALSE
445,"Friedemann Leibfritz",TRUE
446,"Dieter Baum",TRUE
